canonical_name,comedytickets_event_count,corrected_city,corrected_state,corrected_country,corrected_timezone,disposition,matched_club_id,matched_club_name,source_platform,scraper_key,source_url,smoke_result,reason
Laugh Shop Calgary,14,Calgary,AB,CA,America/Edmonton,onboarded,,,showpass,showpass,https://www.showpass.com/api/public/venues/the-laugh-shop-calgary/calendar/,21 future shows,First-party site embeds Showpass and the Showpass venue calendar API returned active events.
Le Point Virgule,10,Paris,,FR,Europe/Paris,documented_unsupported,,,,,,no supported generic scraper detected,First-party site did not expose an existing supported generic platform feed in this pass.
Leicester Square Theatre,9,London,,GB,Europe/London,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,39 future shows,Ticketmaster venue KovZ9177BEf returned comedy-filtered events.
Monkey Barrel Comedy,25,Edinburgh,,GB,Europe/London,documented_unsupported,,,,,,custom first-party app,Active dedicated comedy venue but first-party site did not expose a supported generic platform feed in this pass.
Monkey Barrell Comedy,23,Edinburgh,,GB,Europe/London,duplicate_candidate,,,,,,duplicate of Monkey Barrel Comedy,ComedyTickets misspelling/duplicate; do not create a second club.
O2 Apollo Manchester,9,Manchester,,GB,Europe/London,onboarded,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,11 future shows,Ticketmaster venue KovZ9177YPV returned comedy-filtered events.
OVO Hydro,12,Glasgow,,GB,Europe/London,documented_unsupported,,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,45 raw comedy-classified results,Skipped because the API feed includes Venue Premium/add-on products not filtered by the current focused Ticketmaster scraper.
Rebecca Cohn Auditorium,5,Halifax,NS,CA,America/Halifax,documented_unsupported,,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,0 future shows,Ticketmaster venue KovZpZAk6lEA returned zero future comedy events.
Rick Bronson's - The Comic Strip,9,Edmonton,AB,CA,America/Edmonton,already_covered,2358,The Comic Strip West Edmonton Mall,custom,tixr,https://www.pixlcalendar.com/api/events/comic-strip-edmonton,existing enabled source,Alias to existing The Comic Strip West Edmonton Mall; no duplicate insert.
Rick Bronson's House of Comedy BC,23,New Westminster,BC,CA,America/Vancouver,already_covered,2357,House of Comedy British Columbia,custom,tixr,https://www.pixlcalendar.com/api/events/house-of-comedy-bc,existing enabled source,Alias to existing House of Comedy British Columbia; no duplicate insert.
Salle Pierre Mercure,8,Montreal,QC,CA,America/Toronto,documented_unsupported,,,,ticketmaster,ticketmaster_comedy,https://www.ticketmaster.com,0 future shows,Ticketmaster venue KovZpZAFFI1A returned zero future comedy events.
