canonical_name,comedytickets_event_count,city,state,disposition,matched_club_id,matched_club_name,source_platform,scraper_key,source_url,smoke_result,reason
Eccles Theater,5,Salt Lake City,UT,already_covered,5433,Eccles Theater - Salt Lake City,ticketmaster,ticketmaster_comedy,,9 future shows in production,Existing venue already has a comedy-filtered Ticketmaster source.
Ensemble Arts Philly,5,Philadelphia,PA,skipped_unsafe_mixed,,,,,,not smoke-tested,Broad performing-arts organization; existing LaughTrack coverage is at specific venues rather than this umbrella.
Fallout Theater,12,Austin,TX,onboarded,,,eventbrite,eventbrite,https://www.eventbrite.com,172 future shows,First-party comedy page links Eventbrite events from organizer 16738257328; single-venue Eventbrite mode with exclude_classes avoids class ingestion.
Fat Black Pussycat,19,New York,NY,skipped_room_or_alias,,,,,,not smoke-tested,Room/brand-level Comedy Cellar-adjacent listing; no separate first-party source should be enabled without a canonical merge.
Funnybone Des Moines,13,Des Moines,IA,already_covered,1030,Des Moines Funny Bone,etix,etix,https://www.etix.com/ticket/v/28453/funny-bone-comedy-club-des-moines,85 future shows in production,Existing canonical West Des Moines Funny Bone source uses the Etix/Rockhouse fallback and has alias history.
Harrah's Las Vegas,8,Las Vegas,NV,skipped_unsafe_mixed,,,,ticketmaster,ticketmaster_comedy,,Harrah's Las Vegas Ticketmaster rooms returned 0 comedy events,Casino umbrella with multiple rooms and no verified comedy-only current source.
KGB Bar Red Room,5,New York,NY,skipped_unsafe_mixed,,,,,,not smoke-tested,Bar/room listing; no verified supported comedy-only source found.
Levity Live Oxnard,45,Oxnard,CA,already_covered,27,Oxnard Levity Live,custom,json_ld,,52 future shows in production,Existing Oxnard Levity Live club already covers the candidate.
Lillian S. Wells Hall at The Parker,8,Ft Lauderdale,FL,already_covered,4850,Wells Hall at The Parker,ticketmaster,ticketmaster_comedy,,15 future shows in production,Existing venue already has a comedy-filtered Ticketmaster source.
Lounge At The End Of The Universe,9,Boise,ID,skipped_empty_source,,,,custom,squarespace,https://www.loungeboise.com/api/open/GetItemsByMonth?collectionId=678f06e33a43e509beaaf7f7,0 events for July-September 2026,Squarespace collection is reachable but currently empty for the scraper window; do not add a dry source.
Old National Centre,5,Indianapolis,IN,already_covered,2510,Murat Egyptian Room at Old National Centre,ticketmaster,live_nation,,7 future shows in production,Existing Old National Centre room source covers the candidate.
Playhouse Square,5,Cleveland,OH,already_covered,5058,Connor Palace at Playhouse Square,custom,playhouse_square,,20 future shows in production,Existing Playhouse Square sources cover comedy across the complex with filtering.
Rialto Casper,16,Casper,WY,skipped_empty_source,,,,ticketmaster,ticketmaster_comedy,,Ticketmaster venue Z7r9jZakpb returned 0 comedy events,Mixed theater with no current comedy results from the supported filtered source.
Rialto Theatre,8,Tucson,AZ,already_covered,4884,Rialto Theatre-Tucson,ticketmaster,ticketmaster_comedy,,15 future shows in production,Existing Tucson Rialto source already has comedy-filtered Ticketmaster coverage.
Rio Suite Hotel & Casino,15,Las Vegas,NV,already_covered,4548,Comedy Cellar at Rio Las Vegas,ticketmaster,ticketmaster_comedy,,359 future shows in production,Comedy at the Rio is already covered by the Comedy Cellar at Rio club.
River: A Waterfront Restaurant and Bar,24,Wethersfield,CT,already_covered,1350,Brew HaHa Comedy at River,custom,json_ld,,6 future shows in production,Existing Brew HaHa at River source covers the comedy series at this venue.
Robert Kirk Walker Theatre,5,Chattanooga,TN,already_covered,4671,The Walker Theatre,ticketmaster,ticketmaster_comedy,,13 future shows in production,Existing Walker Theatre source already has comedy-filtered Ticketmaster coverage.
Saratoga Springs City Center,6,Saratoga Springs,NY,skipped_unsafe_mixed,,,,,,not smoke-tested,Convention/event center; no verified supported comedy-only source found.
Silver Legacy Resort Casino,20,Reno,NV,already_covered,4571,Silver Legacy Casino Reno,ticketmaster,ticketmaster_comedy,,2 future shows in production,Existing Silver Legacy/Reno comedy coverage is present; do not add a duplicate resort umbrella row.
Soul Joel's,12,Pottstown,PA,skipped_unsupported_filter,,,,custom,woocommerce_store_api,https://souljoels.com,products feed reachable but category is Tickets and includes non-comedy,Existing WooCommerce scraper requires a comedy category; loosening it would ingest football podcasts and line dancing.
St. Andy's Sports Pub,23,Panama City,FL,skipped_unsafe_mixed,,,,,,not smoke-tested,Sports pub/event venue; no verified supported comedy-only source found.
